   3   90   24   3     ! kAE, kLc, kmlt, kLat
 AE [nT]     L       MLT        Lat [0,10] LBC Bw [pT]       Lat [10,20] LBC Bw [pT]       Lat [20,30] LBC Bw [pT]
   0 100  1.05         0                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05         1                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05         2                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05         3                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05         4                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05         5                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05         6                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05         7                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05         8                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05         9                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05        10                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05        11                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05        12                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05        13                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05        14                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05        15                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05        16                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05        17                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05        18                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05        19                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05        20                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05        21                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05        22                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.05        23                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15         0                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15         1                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15         2                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15         3                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15         4                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15         5                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15         6                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15         7                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15         8                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15         9                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15        10                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15        11                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15        12                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15        13                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15        14                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15        15                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15        16                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15        17                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15        18                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.15        19                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
