A01 1.678   0.17  -0.159  0.17  0.057   0.023
A02 -0.1606  0.13  0.608  0.17  0.524   0.021
A03 1.669   0.16 0.5055  0.052 0.0908  0.015
A04 4.820   0.16 0.0796  0.051 0.527   0.630
A05 2.855   0.49 0.2746  0.022 0.078   0.035
A06 -0.602   0.24   0.0361  0.026   -4.422  1.55
A07 -0.836   0.23   -0.0342  0.033  -1.533  0.030
A08 -2.491   0.39   -0.7935  0.060   -1.217  0.14
A09 0.2568  0.023  1.162   0.081   2.54   1.24
A10 0.2249  0.060  0.4756  0.14    0.32   0.19
A11 0.1887   0.068 0.7117  0.050 0.754  0.017
A12 -0.4458  0.048 0.000  0.000  1.048  0.12
A13 -0.0331  0.044 0.000  0.000 -0.074  0.32
A14 -0.0241  0.041 0.000  0.000  1.015  0.25
A15 -2.689  0.16 0.000 0.000 0.000 0.000
A16  1.222  0.17  0.000 0.000 0.000 0.000
